static_x,static_y,static_z,moving_x,moving_y,moving_z,up_x,up_y,up_z,down_x,down_y,down_z,angleActual,actualAngle
0.01963855496845216,-0.019867414775534952,0.3281604614788459,0.04878228893952736,-0.019621864481235433,0.3143689884076095,0.10097481788821137,-0.11763794935308053,0.2920360153453876,0.09526896574434114,0.06634820373619091,0.24038158520770286,,90
0.01268151025452282,-0.02597105992945183,0.3065426006591174,0.044116436810888754,-0.02582743402188554,0.31713008971640794,0.09676208838194722,-0.11504205860985335,0.25943725678494756,0.08826744733343796,0.06842792634310033,0.25061122244634493,,90
0.011204254269840353,-0.02583666121493684,0.30891236455306237,0.041746487982517025,-0.024822723095253085,0.31246553361491586,0.09405542979838233,-0.11367611387010387,0.25666908282522427,0.08503789304079527,0.06764507017196879,0.24532929897106137,,90
0.010276674415272462,-0.025195031470474867,0.3131071311660296,0.03992531698878022,-0.023531742811228044,0.3058665643042415,0.09348465487783607,-0.11399694734883703,0.2578616210152227,0.08530550020136381,0.06982065923506747,0.24787757704489208,,90
0.0058615977715116944,-0.02074484527662125,0.2935923985576375,0.03469085086671285,-0.01904719783204921,0.2875033836281645,0.0866364470055677,-0.10688982069275665,0.2315214345702421,0.08364892245647237,0.07506550404365595,0.25207498868494815,,90
0.004526606083038662,-0.02081238680147646,0.2980287847782326,0.033770868749648485,-0.018873433190990996,0.29236047025931994,0.08587812100766488,-0.10676592879952164,0.233801696011357,0.08251454251665055,0.07591985393045689,0.253556402297474,,90
0.0032903963106852077,-0.01992723932433753,0.29342810360755023,0.032138949901722655,-0.01852486642778701,0.2922003302561593,0.0865540287181,-0.10852812923040375,0.24002764183514155,0.08145141671236104,0.07696520500940647,0.2561967815078294,,90
0.0017048822717645636,-0.019800002900928905,0.2938740201717754,0.030318350181107324,-0.017852017846702848,0.289231862570834,0.08518331659443112,-0.10771311320635375,0.2403848698580403,0.07967935666114885,0.07705143292785904,0.25645048050549296,,90
-0.01899309125482865,-0.020101910893713652,0.29646159932365657,0.010502056570550452,-0.01785142165662903,0.29183528046595847,0.06776482398858989,-0.10760522875960511,0.2510789543354137,0.06045203353855419,0.0804591109255641,0.2695682838440845,,90
-0.019908493009046294,-0.018642699678841298,0.29367512606030044,0.009457636401224056,-0.016536079700132145,0.29570461341746296,0.06715952016976028,-0.10707692438872729,0.25496948384587015,0.05908300427199445,0.0819296300593517,0.26967819697585665,,90
