Original_Angle,position,angle,error
90,3,97.02562081182829,-7.02562081182829
90,3,99.00512029452983,-9.005120294529831
90,3,94.0394768999306,-4.039476899930605
90,3,94.0394768999306,-4.039476899930605
90,3,99.89721320758657,-9.897213207586574
90,3,97.2952716088663,-7.295271608866301
90,3,95.65848707741603,-5.6584870774160265
90,3,95.65848707741603,-5.6584870774160265
90,3,94.64476828174712,-4.644768281747119
90,3,98.46723121975337,-8.467231219753373
90,3,104.85286825410067,-14.85286825410067
90,3,96.46013240103639,-6.46013240103639
90,3,97.91321150226022,-7.913211502260225
90,3,97.74588905933217,-7.745889059332171
90,3,97.74588905933217,-7.745889059332171
90,3,99.59413225455634,-9.594132254556342
90,3,98.92317857108314,-8.923178571083142
90,3,95.52967142138505,-5.529671421385046
90,3,97.37606426821301,-7.376064268213014
90,3,93.9516306419962,-3.9516306419962035
90,3,95.02031863059038,-5.020318630590381
90,3,92.38511280842039,-2.385112808420388
90,3,92.4263292388506,-2.426329238850599
90,3,92.23276795337793,-2.2327679533779303
90,3,95.95926956216361,-5.9592695621636125
90,3,91.57496923511549,-1.5749692351154891
90,3,93.1909915723921,-3.190991572392093
90,3,93.32100175333719,-3.3210017533371854
90,3,93.51888533559175,-3.5188853355917473
90,3,93.83035068189645,-3.830350681896448
90,3,93.20903616244198,-3.2090361624419756
90,3,93.41082550062782,-3.4108255006278227
90,3,91.33594024594484,-1.3359402459448404
90,3,93.98902083866523,-3.989020838665226
90,3,91.51906750637517,-1.5190675063751655
90,3,92.92604180678471,-2.92604180678471
90,3,93.37577571209675,-3.375775712096754
90,3,91.40389802482048,-1.403898024820478
90,3,93.36987116678492,-3.369871166784918
90,3,92.6225256764079,-2.6225256764079035
90,3,91.74096256973786,-1.7409625697378601
90,3,91.25493623339196,-1.254936233391959
90,3,91.0292493756605,-1.0292493756604983
90,3,92.02111729532447,-2.0211172953244727
90,3,92.18873202314033,-2.188732023140332
90,3,92.87864923186223,-2.8786492318622265
90,3,94.5782566910392,-4.578256691039201
90,3,96.51422635539521,-6.514226355395209
90,3,91.70637717497296,-1.7063771749729568
90,3,94.73730282130565,-4.737302821305647
90,3,95.35406173398104,-5.354061733981041
90,3,92.45400199513782,-2.4540019951378156
90,3,93.17022856126044,-3.170228561260444
90,3,94.46782197843655,-4.467821978436547
90,3,97.66032025106327,-7.660320251063268
90,3,94.15030199753566,-4.150301997535664
90,3,92.25125614931295,-2.251256149312951
90,3,94.26700377035885,-4.267003770358855
90,3,99.2312269455967,-9.231226945596703
90,3,95.39895475804923,-5.3989547580492285
90,3,111.33957908357444,-21.339579083574435
90,3,110.67091801693138,-20.67091801693138
90,3,103.39883588097202,-13.398835880972015
90,3,103.57583662822219,-13.575836628222191
90,3,101.42150518850548,-11.421505188505478
90,3,103.84512146266215,-13.84512146266215
90,3,106.88373121738522,-16.88373121738522
90,3,109.264930977782,-19.264930977782
90,3,114.8231570368237,-24.8231570368237
90,3,114.13391011592549,-24.133910115925488
90,3,111.10761536465915,-21.107615364659154
90,3,108.25247957871235,-18.252479578712354
90,3,97.31160906720557,-7.311609067205566
90,3,96.06491514780666,-6.0649151478066585
90,3,95.80544650449481,-5.80544650449481
90,3,90.88997418411239,-0.8899741841123898
90,3,91.59467535993447,-1.5946753599344703
90,3,94.04315827520996,-4.0431582752099615
90,3,93.0347537060621,-3.034753706062105
90,3,93.0347537060621,-3.034753706062105
90,3,91.32794673592389,-1.327946735923888
90,3,91.11824382669921,-1.1182438266992136
