up1,up2,up3,up4,down1,down2,down3,down4,lock1,lock2,lock3,lock4,actualAngle
424.8395385742188,46.792022705078125,774.5735473632812,325.27423095703125,871.2901611328125,433.8466491699219,1263.9085693359375,708.9205322265625,339.0076904296875,431.729248046875,383.6704711914063,478.711669921875,45
412.1832275390625,0.0,887.581787109375,277.8791809082031,846.1060791015625,492.78564453125,1206.0159912109375,692.1951904296875,323.2633361816406,469.8443603515625,379.1539611816406,527.8321533203125,60
397.38232421875,73.51295471191406,681.26318359375,410.1218872070313,936.7938232421876,379.4945068359375,1258.3717041015625,643.93603515625,329.4482421875,511.556396484375,375.29052734375,563.2362060546875,30
745.3492431640625,8.70831298828125,1091.0257568359375,242.95648193359372,820.2847290039062,539.8740234375,1081.2779541015625,676.4595947265625,499.7745361328125,372.6749877929688,542.3466796875,417.43365478515625,90
465.7979736328125,120.07369995117188,740.5045166015625,272.7018127441406,553.6528930664062,576.2449951171875,739.4016723632812,674.9013671875,300.5349426269531,481.7909240722656,348.2253112792969,534.717529296875,90
211.9100799560547,0.0,491.668212890625,215.9925994873047,592.7682495117188,294.465576171875,749.9667358398438,465.3932495117188,153.42495727539062,278.19757080078125,216.99642944335935,337.32879638671875,30
544.4423217773438,64.68475341796875,902.6725463867188,382.03131103515625,981.6806640625,464.5968933105469,1238.25439453125,684.7844848632812,492.1217956542969,431.0305786132813,540.6633911132812,481.0262451171875,45
369.79730224609375,0.0,722.0773315429688,148.74359130859375,685.9920654296875,338.8450622558594,1023.9940185546876,518.2686767578125,337.60009765625,455.98333740234375,379.7708740234375,502.6998901367188,60
287.732666015625,46.30856323242188,583.9989013671875,312.4479675292969,628.22705078125,454.0834655761719,947.940673828125,712.8133544921875,209.3534240722656,466.6652526855469,252.9502868652344,511.3448486328125,45
205.04209899902344,7.995040893554687,495.5992431640625,214.6681671142578,559.7713623046875,375.96575927734375,706.4901123046875,533.259033203125,153.9456329345703,311.3298034667969,214.3900909423828,367.5584411621094,40
446.6271362304688,0.0,901.9719848632812,199.2420959472656,661.087158203125,548.0263061523438,946.15966796875,708.3456420898438,256.8182067871094,401.4070434570313,301.4184265136719,455.71295166015625,75
115.3544464111328,0.0,457.6715698242188,196.4596710205078,672.8414306640625,218.0006103515625,903.6015625,436.71722412109375,66.24360656738281,267.6540222167969,127.47300720214844,329.3068542480469,30
564.9922485351562,49.50376892089844,939.2268676757812,271.09735107421875,864.45849609375,521.0049438476562,1133.294677734375,674.2312622070312,459.2722778320313,411.4059143066406,501.7446899414063,460.2422790527344,65
713.7337646484375,48.08784484863281,953.6099853515624,196.20314025878903,863.8311767578125,457.6923828125,1005.245361328125,554.96826171875,619.8317260742188,354.2587890625,659.9999389648438,394.35394287109375,65
549.4181518554688,10.453514099121094,820.1622924804688,252.3099670410156,874.990966796875,389.7431335449219,1030.507568359375,549.5780029296875,521.0182495117188,347.853515625,561.6857299804688,389.0694580078125,45
549.3975830078125,0.0,1161.6109619140625,209.638916015625,948.8329467773438,493.6287841796875,1244.2686767578125,687.4539794921875,458.9917907714844,452.4573364257813,511.0992736816406,506.0577392578125,60
958.704345703125,0.0,1280.0,216.5787048339844,1093.153076171875,565.363037109375,1280.0,708.373291015625,747.98974609375,394.2508544921875,793.21435546875,440.8612060546875,90
763.2259521484375,44.90007019042969,1194.4747314453125,316.070068359375,1002.6715698242188,610.351806640625,1280.0,720.0,596.7241821289062,487.0652465820313,635.7583618164062,529.3085327148438,75
510.36041259765625,20.358680725097656,874.2737426757812,265.5437927246094,848.1770629882812,494.50341796875,1089.27001953125,642.574462890625,400.7498779296875,395.2093811035156,448.0142822265625,447.0097961425781,60
572.971435546875,44.15818786621094,880.7567138671875,330.32281494140625,751.2047729492188,506.2171630859375,1280.0,720.0,526.7079467773438,401.673095703125,568.1340942382812,442.36083984375,30
261.1571655273437,0.0,546.7072143554688,116.89718627929688,447.2424621582031,405.8036804199219,567.2647094726562,508.2340698242188,183.4933319091797,283.1947937011719,226.60142517089844,330.4786682128906,65
725.243408203125,0.0,1085.122314453125,208.66033935546875,807.79296875,504.1287231445313,1101.935791015625,690.6768188476562,474.2510070800781,363.6379089355469,521.4175415039062,410.2598571777344,90
711.1585693359375,59.794769287109375,1070.7379150390625,265.9080505371094,1024.1456298828125,523.2389526367188,1273.3441162109375,675.1648559570312,619.185546875,419.6336975097656,658.2481689453125,465.0982971191406,65
534.8681030273438,51.018310546875,860.9066772460938,305.44482421875,946.7579345703124,466.8155212402344,1236.6566162109375,658.4271850585938,470.5237426757813,439.9114990234375,505.0280151367188,481.3511962890625,45
876.9427490234375,25.860260009765625,1222.0374755859375,286.9454345703125,965.6253662109376,585.4801635742188,1252.7305908203125,709.6840209960938,715.22509765625,399.8572692871094,758.760498046875,448.8008117675781,90
638.4447021484375,0.0,1010.5362548828124,125.54376220703124,740.642578125,433.585693359375,965.8944091796876,546.628173828125,396.1346130371094,259.78204345703125,442.2010192871094,308.13067626953125,90
285.03338623046875,9.013137817382812,722.4598999023438,320.02178955078125,581.3971557617188,604.1358642578125,898.7330932617188,720.0,77.61363983154297,493.9046630859375,125.85730743408205,552.7042236328125,65
370.49072265625,46.02500915527344,700.371826171875,338.7411499023437,494.0187377929688,454.83447265625,1209.402587890625,720.0,316.74713134765625,396.3695983886719,364.7302856445313,444.2262878417969,30
687.5079345703125,0.0,1144.4044189453125,150.79507446289062,764.7009887695312,472.7422790527344,1099.2509765625,611.994873046875,459.3349914550781,320.3687744140625,501.1298522949219,363.1282958984375,90
482.6455078125,9.181442260742188,854.5064697265625,232.64434814453125,693.6697387695312,572.1380615234375,971.0756225585938,719.699951171875,365.2227478027344,448.20361328125,400.3182678222656,492.5421142578125,75
468.7147216796875,11.474075317382812,843.2176513671875,248.92694091796875,814.8848876953125,464.8073120117188,1111.68994140625,647.8427124023438,335.7779541015625,399.04595947265625,382.40087890625,448.1617431640625,60
811.828125,0.0,1207.1171875,260.49920654296875,903.007568359375,564.2589721679688,1237.505859375,712.5192260742188,564.5845336914062,387.3004150390625,609.8275756835938,433.12353515625,90
418.5197143554688,0.0,804.4710083007812,224.6309814453125,592.9664916992188,524.8590698242188,821.4627075195312,648.2285766601562,189.25259399414065,355.2550964355469,244.61355590820312,415.3030090332031,75
117.9879913330078,0.0,440.33782958984375,230.4192047119141,544.215576171875,243.12771606445312,679.3355712890625,397.7770690917969,87.46745300292969,355.1472473144531,146.16238403320312,410.8075256347656,30
256.2984619140625,5.3927001953125,678.7332153320312,232.144775390625,523.6668701171875,447.9748840332031,998.993896484375,679.7680053710938,82.66989135742188,405.5675048828125,138.22341918945312,466.5718994140625,60
504.7835388183594,100.33731842041016,832.859375,352.7868957519531,908.7197875976562,449.0698852539063,1266.81103515625,714.6928100585938,435.09954833984375,449.7060546875,475.7813720703125,493.399658203125,45
442.53326416015625,80.93632507324219,751.8107299804688,399.258544921875,621.710693359375,559.7764282226562,1086.376953125,711.8912963867188,405.3398742675781,438.3650512695313,453.4439392089844,487.9019775390625,30
443.5186767578125,82.41593933105469,703.57373046875,310.0853271484375,782.8597412109375,386.3277587890625,944.0208740234376,541.2285766601562,408.3525695800781,380.10882568359375,457.5628356933594,427.41400146484375,30
357.5906982421875,32.856475830078125,649.60546875,314.4776611328125,731.423095703125,379.4482727050781,909.814697265625,546.9871826171875,287.3868103027344,354.1324462890625,345.7460632324219,410.695556640625,30
357.26953125,132.08908081054688,699.448974609375,384.6130676269531,780.345703125,536.1878051757812,1265.9420166015625,720.0,291.8044738769531,531.9727783203125,327.9493713378906,569.1826171875,45
837.0448608398438,0.0,1226.2752685546875,187.9230194091797,1106.165771484375,498.7471923828125,1280.0,667.4344482421875,694.3123168945312,391.4329528808594,738.9389038085938,436.9328308105469,75
494.9596557617188,33.90179443359375,890.4951782226562,255.9791259765625,591.6576538085938,617.9390869140625,861.0372924804688,720.0,318.65386962890625,474.4404602050781,351.41412353515625,516.021484375,90
