up1,up2,up3,up4,down1,down2,down3,down4,lock1,lock2,lock3,lock4,actualAngle
244.2803497314453,65.3290023803711,554.8807373046875,254.56607055664065,301.87213134765625,564.7255859375,485.03607177734375,656.72607421875,6.035036087036133,360.4497680664063,54.6502685546875,416.0115966796875,90
597.961669921875,9.597564697265623,931.8524169921876,227.0787048339844,912.19580078125,463.8884582519531,1140.216552734375,600.6478271484375,503.6746826171875,369.2449035644531,543.942138671875,413.8586730957031,60
235.11050415039065,18.980926513671875,624.0218505859375,232.41241455078125,192.72122192382807,585.4898681640625,435.3051452636719,720.0,655.5407104492188,427.1432800292969,710.2171020507812,485.3600769042969,75
34.71025085449219,0.0,502.1947021484375,141.85443115234375,178.83567810058594,586.60888671875,458.057373046875,720.0,562.96826171875,425.4877014160156,584.3826904296875,464.6556091308594,90
615.433349609375,61.84358215332031,904.700439453125,230.42417907714844,658.6829833984375,522.2063598632812,835.1181640625,616.1110229492188,434.8922119140625,357.1291809082031,472.311279296875,400.1058044433594,90
515.998779296875,27.21479797363281,851.443359375,217.04917907714844,597.8491821289062,548.5535888671875,815.5097045898438,665.6715087890625,303.5300598144531,428.94525146484375,355.5158386230469,482.2598876953125,90
413.16839599609375,16.618026733398438,773.3628540039062,252.5887451171875,645.888671875,502.9269409179688,845.0208740234375,626.2623901367188,293.5467529296875,369.3990173339844,348.267333984375,423.9295959472656,65
572.13330078125,0.0,1082.593505859375,153.8958740234375,714.9577026367188,439.2880859375,904.3550415039062,647.44970703125,211.7603759765625,361.3282775878906,278.0146179199219,426.3124694824219,45
651.1734619140625,15.643882751464844,993.510009765625,257.8560791015625,837.696533203125,559.6076049804688,1171.010009765625,699.6163940429688,447.3662414550781,407.3677368164063,498.0032653808594,460.53314208984375,75
637.048583984375,0.0,993.4837646484376,172.914306640625,746.4774780273438,491.4396362304688,971.6506958007812,586.5183715820312,451.5013732910156,362.0718994140625,500.8443908691406,414.34271240234375,90
847.0521850585938,0.0,1268.2626953125,207.8576202392578,1062.67626953125,601.3986206054688,1280.0,720.0,743.673583984375,433.8240661621094,772.8543701171875,471.9264831542969,75
472.3706665039063,0.0,826.3894653320312,139.24041748046875,747.6854248046875,400.781005859375,932.34326171875,543.02685546875,344.9956970214844,282.9097595214844,398.5585632324219,338.3083801269531,60
457.4473876953125,33.83647155761719,794.4378662109375,405.71380615234375,186.5494842529297,433.8310546875,469.91351318359375,701.159912109375,755.2257690429688,476.2493896484375,772.4158325195312,506.1925048828125,45
679.3380126953125,94.0084991455078,934.5098876953124,249.887939453125,760.04443359375,512.1528930664062,919.850341796875,597.5372924804688,582.3549194335938,408.9485473632813,616.7168579101562,449.9849853515625,90
597.1358642578125,0.0,1111.6885986328125,134.48272705078125,957.8399658203124,374.3992614746094,1241.4271240234375,521.034912109375,490.5069274902344,287.04278564453125,537.1370239257812,335.2006225585937,60
514.26513671875,25.17301177978516,838.112548828125,217.73440551757807,504.1148681640625,532.5001220703125,730.3704833984375,655.1322021484375,868.9113159179688,424.4207763671875,890.5913696289062,456.94183349609375,75
392.9497680664063,0.0,869.3794555664062,189.5115203857422,703.670166015625,478.7737426757813,967.92236328125,634.0009155273438,278.0783996582031,442.9104614257813,317.7470397949219,489.24267578125,75
366.230224609375,0.0,672.01123046875,205.52886962890625,755.6514282226562,251.53317260742188,923.1290893554688,409.7007751464844,322.8412170410156,266.5151062011719,378.6257629394531,322.2106018066406,30
317.4627990722656,0.0,737.1004638671875,103.06028747558594,448.6971130371094,471.3013916015625,702.4283447265625,607.857666015625,795.7540893554688,349.7811889648437,815.0901489257812,384.1181640625,90
405.0184631347656,6.717414855957031,712.6673583984375,248.548095703125,231.085693359375,446.4314575195313,557.0645751953125,595.4141235351562,715.09765625,407.8530578613281,736.9940185546875,440.9550476074219,60
433.5369873046875,4.060661315917969,770.4495849609375,237.2681884765625,705.7198486328125,504.4229736328125,1016.3602294921876,685.2745361328125,338.17724609375,432.9646606445313,371.6920776367188,469.3235473632813,60
417.68408203125,185.79620361328125,659.1505126953125,319.214111328125,523.913818359375,611.7890625,700.046142578125,704.6287841796875,307.593505859375,513.73095703125,349.1898803710937,560.0250244140625,75
548.929931640625,0.0,894.3582763671875,156.52549743652344,635.2396850585938,456.7635192871094,864.5945434570312,570.7513427734375,289.0849914550781,292.0882873535156,338.9046325683594,342.1066589355469,90
380.16943359375,0.0,681.1268310546875,125.19223022460938,445.03173828125,442.9432373046875,616.990478515625,522.6892700195312,707.2552490234375,297.2146911621094,746.5382080078125,344.4115295410156,90
0.0,0.0,393.5724487304688,194.6226806640625,0.0,596.849853515625,267.3849792480469,720.0,509.0337219238281,395.0706176757813,577.0970458984375,468.3114013671875,90
682.1730346679688,49.93775177001953,950.1785278320312,297.2395324707031,883.8773193359375,517.8165283203125,1280.0,720.0,633.9144287109375,373.1416015625,677.2197265625,419.2628173828125,30
515.8973388671875,35.8929443359375,789.506591796875,298.7951354980469,882.1668701171875,345.2564697265625,1072.7779541015625,543.6902465820312,464.8861999511719,359.7496643066406,512.3323364257812,407.2793884277344,30
810.7032470703125,28.22771453857422,1123.331787109375,224.84735107421875,934.4276733398438,567.526123046875,1129.09765625,667.2452392578125,1228.352294921875,365.3570556640625,1276.909423828125,430.5444946289063,90
522.79736328125,0.0,875.937255859375,159.91317749023438,607.8980102539062,462.1876831054688,841.3562622070312,576.8285522460938,263.0677795410156,293.1058044433594,316.2901916503906,346.1197204589844,90
641.1373901367188,0.0,1066.51611328125,197.46563720703125,883.0018310546875,513.379150390625,1241.6077880859375,677.3912353515625,490.5161437988281,403.20306396484375,525.0372924804688,443.7791748046875,75
132.12030029296875,0.0,530.636962890625,171.36953735351562,200.88037109375,568.5370483398438,443.2197265625,700.1226196289062,533.0591430664062,436.28851318359375,552.6958618164062,468.10748291015625,90
675.8287353515625,0.0,1165.903076171875,161.27810668945312,825.4671630859375,439.6019592285156,1014.646240234375,645.6387329101562,321.44195556640625,377.319580078125,376.6829833984375,434.1041870117188,45
251.04769897460935,0.0,629.6927490234375,161.83811950683594,533.524169921875,440.16900634765625,727.440673828125,583.3331909179688,104.77941131591795,299.8253173828125,161.77622985839844,356.55145263671875,60
994.0408935546876,0.0,1280.0,127.92428588867188,1128.7357177734375,498.5359497070313,1276.4564208984375,600.0015258789062,889.4132080078125,359.9677429199219,938.0015869140624,413.6486511230469,90
516.9720458984375,0.0,862.0390625,200.09249877929688,647.611083984375,488.774169921875,909.595458984375,615.060791015625,270.5531005859375,314.0757141113281,328.970458984375,372.7480773925781,80
531.2188720703125,0.0,913.201416015625,194.3914794921875,684.9484252929688,493.2747802734375,943.8501586914062,617.5499267578125,306.68359375,322.09918212890625,361.1356201171875,373.5807495117188,80
405.9574890136719,0.0,689.3070068359375,133.56167602539062,403.7517700195313,455.3496398925781,557.8052368164062,548.2918701171875,697.5740966796875,353.60943603515625,739.7999267578125,403.29632568359375,75
409.3316040039063,129.85931396484375,651.6245727539062,356.114990234375,651.2835083007812,548.3281860351562,822.1937866210938,667.2711791992188,389.7352294921875,444.3307800292969,429.0667724609375,487.6770935058594,30
560.9271850585938,0.0,1218.4189453125,222.49496459960935,970.1151123046876,548.271484375,1280.0,720.0,504.9002990722656,507.479248046875,540.8721923828125,552.5526123046875,75
568.5896606445312,0.0,1126.13916015625,177.31158447265625,770.7526245117188,445.0856323242188,938.3775024414062,619.6431274414062,376.3330078125,371.9563598632813,428.78948974609375,425.6849365234375,45
258.6580810546875,0.0,694.1640625,227.7837829589844,635.6460571289062,365.129638671875,883.6370239257812,621.527587890625,172.04661560058594,339.5692443847656,231.3883514404297,397.4854431152344,45
440.4930419921875,52.74456024169922,713.2249755859375,230.60745239257807,1125.374755859375,605.7249145507812,1280.0,710.3562622070312,712.0335693359375,447.7244567871094,754.965576171875,500.8278198242188,60
512.583251953125,0.0,884.51123046875,234.35986328125,510.6149291992188,556.6212158203125,740.8412475585938,680.924560546875,906.8740844726562,443.9925537109375,929.8762817382812,479.17877197265625,75
419.9473876953125,0.0,804.229248046875,240.98651123046875,724.782470703125,477.2725830078125,920.741455078125,621.980224609375,308.6243896484375,357.8675842285156,359.920166015625,412.1007995605469,60
215.4573516845703,51.01513671875,520.9963989257812,248.2796630859375,978.385498046875,579.3986206054688,1249.73388671875,720.0,554.2265625,478.13482666015625,606.0313720703125,534.3347778320312,60
782.4323120117188,0.0,1144.348388671875,142.83953857421875,816.0521850585938,467.591552734375,1053.2982177734375,587.5823974609375,1221.1055908203125,331.85693359375,1249.4754638671875,378.9142456054688,75
565.5372314453125,0.0,1031.8985595703125,171.28033447265625,665.3458862304688,554.7775268554688,936.5497436523438,714.3101196289062,395.4335632324219,400.7364196777344,426.5409240722656,439.5379943847656,90
696.8826904296875,0.0,1066.6114501953125,211.90501403808597,773.47607421875,511.01312255859375,1025.829345703125,636.9401245117188,451.49365234375,350.5392761230469,497.3131713867188,396.8898620605469,90
447.7617492675781,58.013771057128906,700.0014038085938,300.4707946777344,731.9617919921875,385.05377197265625,879.0560302734375,525.4917602539062,412.7197570800781,367.2073059082031,456.8547668457031,413.0636291503906,30
634.9857177734375,8.051986694335938,1006.80712890625,271.370849609375,878.4630126953125,550.8977661132812,1280.0,720.0,565.0321044921875,405.5362854003906,608.2578125,450.5236511230469,45
284.77294921875,27.110633850097656,677.158203125,225.51898193359372,275.1609802246094,579.5813598632812,495.8980407714844,701.2871704101562,721.4312744140625,418.8904113769531,776.4656982421875,479.8398742675781,75
983.3219604492188,0.0,1280.0,126.00204467773438,1115.3319091796875,489.5516357421875,1280.0,587.2589111328125,873.3262329101562,349.5738525390625,921.9027709960938,405.1213989257813,90
758.26904296875,0.0,1126.3736572265625,202.18341064453125,859.1361083984375,524.115966796875,1076.0159912109375,619.04345703125,532.7509765625,362.7059020996094,574.0078125,404.3523864746094,90
175.3258514404297,0.0,544.2014770507812,314.35791015625,704.3751220703125,304.0394287109375,878.915283203125,486.0480346679688,128.2727813720703,431.7962036132813,190.5460662841797,489.37451171875,30
231.1554718017578,0.0,586.540283203125,179.2908935546875,184.8651428222656,478.8759460449219,336.4533386230469,577.1143188476562,606.6718139648438,413.4864807128906,661.6489868164062,473.5577697753906,60
270.8240661621094,36.4760971069336,604.8895263671875,202.73269653320312,395.5328674316406,542.4766845703125,567.99951171875,655.574462890625,176.09228515625,432.5756530761719,235.24533081054688,492.4505615234375,90
384.4210815429688,12.014503479003906,729.0154418945312,232.1837158203125,526.7430419921875,544.2655639648438,711.7518310546875,654.1849975585938,172.8980712890625,424.6061706542969,225.56423950195312,483.9566955566406,90
460.3523559570313,0.0,854.3928833007812,174.7654571533203,780.552490234375,401.4924621582031,1119.01025390625,562.811279296875,370.1401672363281,356.32098388671875,411.9416809082031,401.22308349609375,60
614.8533935546875,0.0,1018.6861572265624,170.20712280273438,881.4530029296875,465.5198364257813,1047.367919921875,590.9981079101562,552.9205322265625,354.8785705566406,599.00634765625,404.8074035644531,60
759.5951538085938,0.0,996.1273803710938,183.03927612304688,985.910888671875,510.9152221679688,1280.0,705.4885864257812,740.0856323242188,322.15496826171875,770.3272094726562,361.69573974609375,90
260.8660888671875,0.0,733.1054077148438,160.82168579101562,539.4979858398438,467.7511291503906,904.7461547851562,663.6138916015625,90.2376937866211,403.7141723632813,139.91835021972656,458.9493408203125,75
179.29017639160156,0.0,602.5052490234375,236.0340576171875,573.2542724609375,385.9763793945313,793.7523193359375,616.1422729492188,65.51806640625,335.93511962890625,136.15283203125,399.928466796875,45
443.7535400390625,0.0,819.8096923828125,182.0972137451172,763.4475708007812,441.9060363769531,999.5925903320312,594.8934326171875,331.26434326171875,328.6244201660156,385.4560546875,387.3890075683594,60
326.3554992675781,0.0,732.3426513671875,123.41203308105467,365.4790649414063,448.83929443359375,618.9993286132812,577.5331420898438,752.1949462890625,347.9743347167969,774.2841796875,380.5290832519531,75
645.8931274414062,24.644569396972656,993.6322631835938,277.568603515625,848.6700439453125,581.0825805664062,1158.3218994140625,707.2180786132812,443.6390380859375,421.5240173339844,492.42388916015625,472.4211730957031,75
716.4268798828125,0.0,1100.3359375,190.37179565429688,806.164306640625,496.3145751953125,1061.9158935546875,604.80908203125,479.26458740234375,332.82763671875,525.3847045898438,375.8792114257813,90
297.7804870605469,0.0,767.72314453125,218.069091796875,571.719970703125,444.4564208984375,725.5595703125,632.3050537109375,247.1065368652344,358.99859619140625,308.6709899902344,421.1165161132813,45
625.8104858398438,36.30250549316406,901.4948120117188,277.85711669921875,480.111083984375,525.6575317382812,744.2611083984375,645.1719360351562,887.5584106445312,422.4049072265625,912.6448364257812,457.92877197265625,60
944.1757202148438,12.75432586669922,1247.0859375,176.0467529296875,1044.17724609375,485.4466247558594,1252.251708984375,568.6365966796875,833.2808837890625,368.5222473144531,871.8140869140625,411.9301452636719,90
618.8720703125,0.0,1070.9383544921875,151.59835815429688,833.158935546875,463.0809020996094,1054.8150634765625,569.7644653320312,427.89013671875,303.7158508300781,480.0291748046875,359.4729309082031,75
386.3638916015625,31.51001739501953,663.0679931640625,170.71304321289062,520.5728759765625,480.21484375,651.364990234375,565.6282958984375,310.3841247558594,398.6351623535156,361.0942687988281,454.4523620605469,90
929.0966796875,0.0,1258.798583984375,102.528564453125,1046.8699951171875,449.650634765625,1271.2269287109375,562.57861328125,822.5963134765625,315.2368469238281,871.350341796875,368.0280456542969,90
691.3698120117188,5.122016906738281,998.7600708007812,187.32351684570312,747.1094360351562,481.72406005859375,917.8129272460938,571.3956909179688,500.5991821289063,317.8647155761719,541.7073364257812,364.7206115722656,90
592.3265380859375,128.7926025390625,890.32958984375,407.2239379882813,39.9481201171875,563.110595703125,264.4425048828125,667.2763671875,544.232421875,462.48724365234375,599.681396484375,519.2617797851562,30
619.9193725585938,83.4647445678711,864.9721069335938,230.75863647460935,701.5811767578125,502.4616088867188,858.3033447265625,587.7837524414062,498.3782653808594,367.279541015625,535.8917236328125,406.66119384765625,80
