static_x,static_y,static_z,moving_x,moving_y,moving_z,up_x,up_y,up_z,down_x,down_y,down_z,actualAngle
-0.0428107144248854,-0.0442641691151348,0.3021383821283852,0.0430772599655617,0.0511428122628905,0.2853836476571137,-0.0139565816222285,-0.0506863957218547,0.3212963708304993,0.1396653396564832,0.0479636246662093,0.2344080312095356,30
-0.0185349965650108,-0.0349129503631234,0.3395360534117311,0.0467432524997535,0.0446494943101166,0.3094645066427811,0.0159513083594112,-0.0692732385106672,0.3388863708659887,0.1314727006323503,0.0615259197497509,0.2203296985485826,45
-0.0978896825701988,-0.0461763617102842,0.2821421645143488,-0.0025505224717605,0.0449926362733329,0.2623884857184704,-0.0675461196788287,-0.0517976176163557,0.2813853691453052,0.0927199272466904,0.0316507802752344,0.1942663988504931,30
-0.0701653554575481,-0.0430499329608724,0.2471347494097389,-0.0102345545986351,0.0312094027489745,0.2969369915849255,-0.041082286511751,-0.0776874378945137,0.2603886719160319,0.1024242229174298,0.058914081823303,0.31965583856416,45
-0.1237983381388133,-0.031949845151628,0.1646037162416584,-0.0991534075003086,0.0350902199794233,0.2437962256107319,-0.1127885606256276,-0.0613285522764088,0.2121158980201935,-0.014328041704535,0.0725846335575019,0.3233981097141403,45
-0.1220170729559421,-0.0277747980513458,0.2060830686657405,-0.0495185925502374,0.0608636351542797,0.218747089509862,-0.1010624699951838,-0.0320836894519138,0.2308124850139213,0.0527760983355402,0.0641208720867011,0.2212364667094291,30
-0.1342014026185781,-0.0341316547245016,0.1642601523906565,-0.1076003986419334,0.0118481997668248,0.2107632798140413,-0.1049112483230373,-0.0802430824597968,0.197569059756918,-0.040582370369979,0.06738674909632,0.2964050521674174,60
-0.0928668508653526,-0.0480967074516042,0.2919902582227073,0.0234720161882081,0.0547897184418591,0.2651387406293574,-0.0600105751679103,-0.0242790018702662,0.2958490521557573,0.11306355022995,0.0211695124180355,0.206518669553307,15
0.0629895032504938,-0.0377113758998104,0.3340744433372547,0.0865345300718027,-0.0064754198773563,0.2769070497497086,0.1037558226178795,-0.1045236437948672,0.2390905197547371,0.139250127097692,0.0554501847207769,0.1758792267932515,75
-0.1110459234536684,-0.0389386822391505,0.1830266165178984,-0.0618744339995818,0.0506250168878309,0.2886736476903825,-0.1001980064171432,-0.0463743490924812,0.2286247998568435,0.0435201035877495,0.0546941909680111,0.3294452056450604,30
-0.1239360462581041,-0.0692325711913035,0.1884660564758828,-0.0272024503882155,0.0216423851459574,0.2679264318663917,-0.0988581673827416,-0.0507936511019361,0.2154747245491016,0.0755261555401158,-0.0093328712651308,0.259097560439413,15
-0.1262852522051167,-0.063333998498509,0.1900532941303337,-0.0659726251040588,0.0233450638417984,0.2780227626788871,-0.1035260125226462,-0.0677774257682194,0.2077017500110928,0.0477532227227801,0.0250933975946912,0.2862125229415386,30
-0.0770075892831334,-0.0464772233392263,0.2867009698086833,-0.0334419682290112,0.0080388192214001,0.3141153268692492,-0.0356493412344183,-0.1038226299804094,0.2952455256038402,0.0631534295318312,0.0609976706491787,0.3108852535214341,60
0.0054517563177929,-0.0461205595490249,0.3433442267424343,0.0522347423254584,0.0112916552121304,0.3127030539312559,0.0487212691497442,-0.1052987665545314,0.3173998040956392,0.1239448128469396,0.0517669812910251,0.2130392498091968,60
-0.0564354948105226,-0.0469094185357893,0.2478449748208139,0.008441460977626,0.0266753440073263,0.2959350124346224,-0.0247739260215861,-0.0788238386518188,0.2413184086532853,0.1186555632631306,0.0487293377656786,0.2907340522628274,45
-0.1283964874731314,-0.0871963622512572,0.1927886791745873,-0.0490027096438287,0.014036509788586,0.293063853390191,-0.1063593149634104,-0.0658806192701675,0.2216929175791129,0.061217205223462,-0.0037467804687434,0.3096331376902309,15
-0.1347358608443178,-0.0604820106387947,0.155317703273664,0.0056810553991544,0.0473886092832863,0.2116719240623103,-0.0804551394774089,-0.0089806523510071,0.1622839144519438,0.0997987798090019,-0.0060426082644866,0.2224859421527938,0
-0.0799790730809657,-0.0226747561927246,0.3022964287047321,-0.0528475090887947,-0.0228836827244283,0.3156425191593642,0.004598651653829,-0.11404483787557,0.266581578329755,0.0038003600246622,0.0742751493230897,0.3139088894882151,90
-0.0792032098036184,-0.0439570146398866,0.2732454581302232,-0.0405384349970794,0.0091828141917305,0.3224732287374305,-0.0407011855728949,-0.1023400657743841,0.2924793186731823,0.0602148950628851,0.0657552131883718,0.3303740401366691,60
-0.038819603147139,-0.0332054518673513,0.3190881149007368,0.0078495348174649,0.0215516853508622,0.3133195368848836,0.0031494410304454,-0.0921379898788499,0.3231525371553695,0.09991513414572,0.0704282965543179,0.2743637547985884,60
-0.1092531975486421,-0.0823734439490916,0.2563747852030021,-0.0065349046407914,0.0243765569557263,0.2959645222582895,-0.0849466545755203,-0.0618524948988879,0.286270047554345,0.0961985408801576,0.0004780503265973,0.2573467393971968,15
-0.1186461067663722,-0.0340178874359414,0.1727403802928359,-0.1081353140230517,-0.0120419251744636,0.2207046840610791,-0.0844488007435058,-0.1041049427609377,0.2323502050483598,-0.0539160900944118,0.0625892679671903,0.2823232149969039,75
-0.0671076398132723,-0.0442349863002115,0.2436086685211015,-0.0028549132427911,0.0239614702984179,0.2807950724933936,-0.0386609897804759,-0.0789664190350368,0.2484994133831861,0.1100238621323816,0.0451590764970179,0.3022950845978253,45
